customer_id,country,province,city,industry_code,employee_count,sales,established_date,onboard_date
SYNCID0000000000,CA,ON,NORTH YORK,7292,0.0,0.0,2019-06-22,2022-05-02
SYNCID0000000001,CA,ON,NORTH YORK,,,66446.0,2009-07-21,2009-08-21
SYNCID0000000002,CA,ON,KITCHENER,7721,2.0,,2022-04-11,2022-09-14
SYNCID0000000004,CA,,other,4565,1.0,328160.0,2020-11-16,2022-12-08
SYNCID0000000005,CA,BC,VICTORIA,7799,1.0,0.0,2022-01-21,2023-01-01
SYNCID0000000006,CA,BC,other,7761,0.0,0.0,2009-11-05,
SYNCID0000000007,CA,BC,PENTICTON,7292,1.0,33642.0,1987-05-29,2018-09-24
SYNCID0000000008,CA,,other,9659,0.0,0.0,1992-10-07,1992-01-08
SYNCID0000000009,CA,QC,MONTREAL,8653,1.0,73595.0,2012-07-01,2019-01-21
SYNCID0000000010,CA,ON,TORONTO,7511,0.0,,2007-08-27,2008-04-26
SYNCID0000000011,CA,,other,other,1.0,40498.0,1981-11-03,
SYNCID0000000012,CA,ON,BRAMPTON,4561,1.0,0.0,2019-12-21,
SYNCID0000000013,CA,ON,LONDON,8661,1.0,164853.0,2016-06-20,2016-07-29
SYNCID0000000014,CA,ON,MARKHAM,4275,0.0,,2016-09-14,
SYNCID0000000015,CA,ON,TORONTO,7771,1.0,411312.0,2019-08-04,
SYNCID0000000016,CA,ON,TRENTON,6312,1.0,,2012-12-27,2012-03-12
SYNCID0000000017,CA,,other,9931,0.0,0.0,1995-04-08,1995-08-09
SYNCID0000000018,CA,,other,7799,2.0,0.0,2023-10-20,2023-11-15
SYNCID0000000019,CA,BC,COQUITLAM,0112,1.0,214530.0,2021-07-06,
SYNCID0000000021,CA,ON,WINDSOR,other,0.0,0.0,2008-01-19,2018-11-08
SYNCID0000000022,CA,ON,KEMPTVILLE,9811,0.0,0.0,1996-04-09,
SYNCID0000000023,CA,NS,SYDNEY,6011,1.0,1.0,2018-10-08,2018-12-30
SYNCID0000000024,CA,ON,MIDLAND,7292,3.0,0.0,2014-04-09,2015-07-18
SYNCID0000000025,CA,AB,EDMONTON,7752,,,2018-03-22,2022-12-17
SYNCID0000000026,CA,,other,9211,1.0,156751.0,2021-08-01,2022-03-08
SYNCID0000000027,CA,ON,MISSISSAUGA,5622,1.0,,2020-07-28,2020-10-11
SYNCID0000000029,CA,ON,GODERICH,9712,1.0,111702.0,2017-09-19,
SYNCID0000000031,CA,ON,ETOBICOKE,7771,3.0,,2021-09-10,2021-10-08
SYNCID0000000032,CA,ON,TRENTON,4274,1.0,60171.0,2011-10-20,2011-12-26
SYNCID0000000033,CA,ON,TORONTO,7722,1.0,,,2017-09-05
SYNCID0000000034,CA,ON,LONDON,0911,,120311.0,2010-09-13,2012-04-17
SYNCID0000000035,CA,ON,,9631,1.0,0.0,,2021-04-19
SYNCID0000000036,CA,,other,9949,1.0,0.0,2023-09-02,2023-10-28
SYNCID0000000037,CA,ON,SCARBOROUGH,7752,4.0,0.0,2023-12-31,2024-01-01
SYNCID0000000038,CA,AB,EDMONTON,8652,0.0,0.0,2019-06-16,2019-08-07
SYNCID0000000039,CA,ON,MARKHAM,7215,,135350.0,2008-04-29,
SYNCID0000000040,CA,PE,STRATFORD,4013,0.0,0.0,2020-12-19,2020-12-22
SYNCID0000000041,CA,QC,MONTREAL,other,1.0,3167.0,2009-05-17,2009-06-29
SYNCID0000000042,CA,ON,COLLINGWOOD,1099,0.0,0.0,2018-01-03,2018-02-17
SYNCID0000000043,CA,ON,OTTAWA,7215,1.0,0.0,2013-11-20,2013-12-12
SYNCID0000000044,CA,ON,GUELPH,other,6.0,1244589.0,2002-09-23,2003-02-11
SYNCID0000000045,CA,ON,SARNIA,4561,1.0,0.0,2018-01-11,2019-11-01
SYNCID0000000046,CA,,other,4561,7.0,419221.0,2021-07-18,2022-07-31
SYNCID0000000047,CA,,other,8611,1.0,298649.0,2001-05-13,2000-01-16
SYNCID0000000048,CA,BC,MACKENZIE,7215,,0.0,1997-12-28,
SYNCID0000000050,CA,QC,MONTREAL,7611,0.0,0.0,2012-03-19,2014-04-08
SYNCID0000000051,CA,ON,WATERLOO,4013,3.0,117153.0,2014-01-29,2014-05-03
SYNCID0000000052,CA,ON,SCARBOROUGH,3999,4.0,,1991-01-08,2011-12-31
SYNCID0000000053,CA,,other,9141,1.0,139384.0,2021-02-12,2022-08-02
SYNCID0000000054,CA,ON,THORNHILL,9953,5.0,732400.0,,2017-04-28
SYNCID0000000055,CA,AB,AIRDRIE,other,0.0,,,2014-12-12
SYNCID0000000056,CA,AB,ROCKY MTN HOUSE,7721,1.0,965321.0,2001-12-29,2002-01-01
SYNCID0000000057,CA,ON,OTTAWA,9631,,0.0,2009-06-07,2008-05-22
SYNCID0000000058,CA,,other,0311,,0.0,,2020-10-10
SYNCID0000000059,CA,AB,ROCKY VIEW COUNTY,7511,,0.0,2010-06-20,2016-08-27
SYNCID0000000060,CA,QC,BOUCHERVILLE,other,2.0,,2004-01-28,2004-04-11
