wire_id,customer_id,amount_cad,debit_credit,transaction_date,transaction_time
WIR00000000000000000,SYNCID0000000000,6316.04,debit,2022-11-18,00:00:00
WIR00000000000000001,SYNCID0000000000,0.03,credit,2022-12-31,00:00:00
WIR00000000000000005,SYNCID0000000038,67268.48,credit,2022-12-07,00:00:00
WIR00000000000000006,SYNCID0000000055,6354.06,credit,2022-12-07,00:00:00
WIR00000000000000007,SYNCID0000000061,7217.61,credit,2023-01-10,00:00:00
WIR00000000000000008,SYNCID0000000063,262017.1,debit,2022-12-23,00:00:00
WIR00000000000000009,SYNCID0000000079,8899.15,debit,2023-01-26,00:00:00
WIR00000000000000010,SYNCID0000000097,11249.32,debit,2023-01-27,00:00:00
WIR00000000000000011,SYNCID0000000097,986.71,debit,2023-01-26,00:00:00
WIR00000000000000012,SYNCID0000000097,110.06,debit,2022-11-16,00:00:00
WIR00000000000000013,SYNCID0000000097,6970.17,credit,2022-11-25,00:00:00
WIR00000000000000014,SYNCID0000000097,9402.37,debit,2022-12-14,00:00:00
WIR00000000000000015,SYNCID0000000154,13825.16,debit,2022-11-25,00:00:00
WIR00000000000000016,SYNCID0000000186,4120.51,debit,2022-11-09,00:00:00
WIR00000000000000017,SYNCID0000000210,11685.9,debit,2022-12-27,00:00:00
WIR00000000000000018,SYNCID0000000210,67410.97,debit,2023-01-19,00:00:00
WIR00000000000000019,SYNCID0000000222,598947.85,debit,2023-01-30,00:00:00
WIR00000000000000020,SYNCID0000000227,262274.05,credit,2023-01-17,00:00:00
WIR00000000000000021,SYNCID0000000234,3150.19,credit,2023-01-26,00:00:00
WIR00000000000000022,SYNCID0000000241,1629.32,debit,2022-12-09,00:00:00
WIR00000000000000023,SYNCID0000000241,1481.74,debit,2022-11-18,00:00:00
WIR00000000000000024,SYNCID0000000241,11200.15,debit,2022-11-03,00:00:00
WIR00000000000000025,SYNCID0000000276,507672.8,credit,2022-12-12,00:00:00
WIR00000000000000026,SYNCID0000000288,88078.76,credit,2022-12-12,00:00:00
WIR00000000000000027,SYNCID0000000288,10766.35,credit,2022-11-06,00:00:00
WIR00000000000000028,SYNCID0000000306,4104.31,credit,2022-12-29,00:00:00
WIR00000000000000029,SYNCID0000000306,2263.39,debit,2022-12-15,00:00:00
WIR00000000000000030,SYNCID0000000360,1885.52,debit,2023-01-30,00:00:00
WIR00000000000000031,SYNCID0000000372,25745.15,credit,2022-11-15,00:00:00
WIR00000000000000032,SYNCID0000000402,1083.29,credit,2023-01-25,00:00:00
WIR00000000000000033,SYNCID0000000402,43152.72,debit,2023-01-19,00:00:00
WIR00000000000000034,SYNCID0000000402,13470.88,credit,2022-12-14,00:00:00
WIR00000000000000035,SYNCID0000000402,5683.93,credit,2022-11-25,00:00:00
WIR00000000000000036,SYNCID0000000419,71105.16,credit,2022-11-17,00:00:00
WIR00000000000000037,SYNCID0000000454,1627.29,debit,2022-11-04,00:00:00
WIR00000000000000038,SYNCID0000000465,3938.39,debit,2023-01-27,00:00:00
WIR00000000000000039,SYNCID0000000503,24268.14,debit,2023-01-22,00:00:00
WIR00000000000000040,SYNCID0000000537,103597.33,debit,2022-12-28,00:00:00
WIR00000000000000041,SYNCID0000000537,3203.04,debit,2023-01-25,00:00:00
WIR00000000000000042,SYNCID0000000537,706.71,debit,2022-12-10,00:00:00
WIR00000000000000043,SYNCID0000000537,130787.36,debit,2022-11-29,00:00:00
WIR00000000000000044,SYNCID0000000537,4117.38,debit,2022-11-22,00:00:00
WIR00000000000000045,SYNCID0000000537,855.63,credit,2022-11-22,00:00:00
WIR00000000000000046,SYNCID0000000537,941.64,debit,2022-12-05,00:00:00
WIR00000000000000047,SYNCID0000000537,4534.76,credit,2022-12-05,00:00:00
WIR00000000000000048,SYNCID0000000537,743.85,debit,2022-12-20,00:00:00
WIR00000000000000049,SYNCID0000000537,5115.84,debit,2023-01-10,00:00:00
WIR00000000000000050,SYNCID0000000537,9038.31,debit,2022-12-19,00:00:00
WIR00000000000000051,SYNCID0000000537,11770.03,credit,2023-01-20,00:00:00
WIR00000000000000052,SYNCID0000000537,34335.29,debit,2023-01-10,00:00:00
WIR00000000000000053,SYNCID0000000537,14752.89,credit,2022-11-15,00:00:00
WIR00000000000000054,SYNCID0000000550,31120.58,debit,2023-01-06,00:00:00
WIR00000000000000055,SYNCID0000000566,45621.86,credit,2022-12-30,00:00:00
WIR00000000000000056,SYNCID0000000566,5351.28,credit,2023-01-20,00:00:00
WIR00000000000000057,SYNCID0000000566,6362.49,credit,2022-11-09,00:00:00
WIR00000000000000058,SYNCID0000000566,3164.38,credit,2022-11-22,00:00:00
WIR00000000000000059,SYNCID0000000568,15167.72,debit,2022-11-02,00:00:00
WIR00000000000000060,SYNCID0000000568,26294.73,debit,2022-11-02,00:00:00
WIR00000000000000061,SYNCID0000000568,632.49,debit,2023-01-04,00:00:00
WIR00000000000000062,SYNCID0000000568,10600.45,credit,2023-01-31,00:00:00
WIR00000000000000063,SYNCID0000000568,2181.33,debit,2022-11-09,00:00:00
WIR00000000000000064,SYNCID0000000568,1347.21,debit,2023-01-24,00:00:00
WIR00000000000000065,SYNCID0000000568,10288.05,debit,2022-11-14,00:00:00
WIR00000000000000066,SYNCID0000000568,11432.92,debit,2023-01-11,00:00:00
WIR00000000000000067,SYNCID0000000568,64208.72,debit,2022-12-15,00:00:00
WIR00000000000000068,SYNCID0000000568,14971.61,debit,2023-01-09,00:00:00
WIR00000000000000069,SYNCID0000000568,5236.49,credit,2022-11-17,00:00:00
WIR00000000000000070,SYNCID0000000568,48519.22,debit,2022-12-15,00:00:00
WIR00000000000000071,SYNCID0000000568,2158.66,credit,2022-11-23,00:00:00
WIR00000000000000072,SYNCID0000000568,11181.68,debit,2023-01-13,00:00:00
WIR00000000000000073,SYNCID0000000568,9833.84,debit,2022-11-17,00:00:00
WIR00000000000000074,SYNCID0000000580,1565.07,credit,2022-12-16,00:00:00
WIR00000000000000075,SYNCID0000000580,4985.73,debit,2023-01-20,00:00:00
WIR00000000000000076,SYNCID0000000580,47516.81,debit,2022-12-24,00:00:00
WIR00000000000000077,SYNCID0000000580,10368.83,debit,2022-11-15,00:00:00
WIR00000000000000078,SYNCID0000000580,6889.38,credit,2023-01-03,00:00:00
WIR00000000000000079,SYNCID0000000580,434.32,debit,2022-12-09,00:00:00
WIR00000000000000080,SYNCID0000000580,267.99,debit,2022-11-10,00:00:00
WIR00000000000000081,SYNCID0000000580,4856.05,debit,2023-01-31,00:00:00
WIR00000000000000082,SYNCID0000000580,11819.68,debit,2022-11-03,00:00:00
WIR00000000000000083,SYNCID0000000580,31833.55,credit,2022-11-24,00:00:00
WIR00000000000000084,SYNCID0000000580,10111.39,debit,2022-11-01,00:00:00
WIR00000000000000085,SYNCID0000000580,1916.68,debit,2023-01-26,00:00:00
WIR00000000000000086,SYNCID0000000580,13.75,debit,2022-11-15,00:00:00
WIR00000000000000087,SYNCID0000000580,10961.85,credit,2023-01-30,00:00:00
WIR00000000000000088,SYNCID0000000580,6791.78,debit,2023-01-16,00:00:00
WIR00000000000000089,SYNCID0000000580,1225.04,debit,2023-01-19,00:00:00
WIR00000000000000090,SYNCID0000000580,2460.33,credit,2023-01-17,00:00:00
WIR00000000000000091,SYNCID0000000580,974.24,debit,2022-11-29,00:00:00
WIR00000000000000092,SYNCID0000000580,7736.67,debit,2023-01-05,00:00:00
WIR00000000000000093,SYNCID0000000580,22847.2,credit,2022-11-03,00:00:00
